1000,100,0
994.988,102.013,0.1
980.07,104.026,0.2
955.799,105.994,0.3
923.181,107.877,0.4
883.587,109.634,0.5
838.619,111.23,0.6
789.974,112.639,0.7
739.31,113.838,0.8
688.139,114.815,0.9
637.749,115.565,1
589.169,116.09,1.1
543.161,116.397,1.2
500.241,116.497,1.3
460.706,116.404,1.4
424.681,116.136,1.5
392.156,115.71,1.6
363.024,115.144,1.7
337.116,114.454,1.8
314.223,113.658,1.9
294.123,112.77,2
276.589,111.805,2.1
261.401,110.776,2.2
248.355,109.694,2.3
237.266,108.571,2.4
227.968,107.415,2.5
220.317,106.236,2.6
214.192,105.041,2.7
209.49,103.836,2.8
206.131,102.63,2.9
204.052,101.426,3
203.21,100.23,3.1
203.579,99.0473,3.2
205.149,97.8826,3.3
207.928,96.7399,3.4
211.938,95.6236,3.5
217.219,94.5376,3.6
223.824,93.4862,3.7
231.824,92.4735,3.8
241.303,91.5038,3.9
252.362,90.5813,4
265.113,89.7108,4.1
279.684,88.8972,4.2
296.213,88.1458,4.3
314.848,87.4622,4.4
335.739,86.8524,4.5
359.039,86.3231,4.6
384.89,85.8814,4.7
413.417,85.5349,4.8
444.716,85.2918,4.9
478.834,85.1606,5
515.753,85.1506,5.1
555.367,85.2711,5.2
597.458,85.5315,5.3
641.665,85.941,5.4
687.465,86.5082,5.5
734.147,87.2406,5.6
780.801,88.1439,5.7
826.318,89.2212,5.8
869.413,90.4723,5.9
908.663,91.8926,6
942.585,93.4723,6.1
969.724,95.1959,6.2
988.772,97.0412,6.3
998.689,98.9799,6.4
998.812,100.978,6.5
988.939,102.996,6.6
969.369,104.992,6.7
940.883,106.924,6.8
904.68,108.75,6.9
862.26,110.433,7
815.29,111.941,7.1
765.462,113.25,7.2
714.375,114.342,7.3
663.439,115.209,7.4
613.818,115.849,7.5
566.411,116.266,7.6
521.856,116.47,7.7
480.559,116.475,7.8
442.727,116.295,7.9
408.414,115.948,8
377.559,115.451,8.1
350.02,114.823,8.2
325.607,114.079,8.3
304.103,113.236,8.4
285.28,112.309,8.5
268.915,111.311,8.6
254.794,110.255,8.7
242.723,109.152,8.8
232.525,108.012,8.9
224.046,106.844,9
217.151,105.656,9.1
211.73,104.455,9.2
207.691,103.249,9.3
204.962,102.043,9.4
203.49,100.842,9.5
203.24,99.6522,9.6
204.194,98.4778,9.7
206.35,97.3232,9.8
209.725,96.1929,9.9
214.348,95.0908,10
220.266,94.0212,10.1
227.54,92.9881,10.2
236.249,91.9958,10.3
246.483,91.0485,10.4
258.351,90.1507,10.5
271.971,89.3073,10.6
287.478,88.5233,10.7
305.013,87.8041,10.8
324.727,87.1557,10.9
346.773,86.5843,11
371.298,86.0967,11.1
398.438,85.7003,11.2
428.305,85.4031,11.3
460.974,85.2134,11.4
496.462,85.1401,11.5
534.713,85.1924,11.6
575.569,85.3798,11.7
618.744,85.7117,11.8
663.803,86.1969,11.9
710.134,86.8437,12
756.928,87.6588,12.1
803.179,88.6466,12.2
847.687,89.8088,12.3
889.094,91.1431,12.4
925.936,92.6426,12.5
956.73,94.2947,12.6
980.08,96.0807,12.7
994.792,97.9754,12.8
999.996,99.9474,12.9
995.247,101.96,13
980.584,103.973,13.1
956.548,105.943,13.2
924.134,107.829,13.3
884.703,109.589,13.4
839.855,111.191,13.5
791.285,112.604,13.6
740.654,113.809,13.7
689.479,114.792,13.8
639.054,115.549,13.9
590.416,116.079,14
544.333,116.391,14.1
501.327,116.496,14.2
461.701,116.409,14.3
425.583,116.146,14.4
392.967,115.723,14.5
363.748,115.161,14.6
337.757,114.474,14.7
314.789,113.68,14.8
294.618,112.794,14.9
277.019,111.831,15
261.772,110.804,15.1
248.673,109.723,15.2
237.534,108.601,15.3
228.191,107.446,15.4
220.499,106.267,15.5
214.334,105.072,15.6
209.596,103.868,15.7
206.203,102.661,15.8
204.091,101.457,15.9
203.217,100.261,16
203.554,99.0782,16.1
205.093,97.9129,16.2
207.84,96.7696,16.3
211.817,95.6525,16.4
217.064,94.5658,16.5
223.634,93.5134,16.6
231.596,92.4996,16.7
241.035,91.5287,16.8
252.05,90.6049,16.9
264.755,89.733,17
279.277,88.9179,17.1
295.753,88.1647,17.2
314.33,87.4792,17.3
335.16,86.8674,17.4
358.395,86.336,17.5
384.177,85.8918,17.6
412.633,85.5427,17.7
443.857,85.2968,17.8
477.901,85.1626,17.9
514.747,85.1493,18
554.293,85.2662,18.1
596.322,85.5228,18.2
640.48,85.9282,18.3
686.246,86.4912,18.4
732.916,87.2192,18.5
779.584,88.1179,18.6
825.147,89.1907,18.7
868.323,90.4372,18.8
907.693,91.8532,18.9
941.773,93.4289,19
969.108,95.1489,19.1
988.384,96.9914,19.2
998.551,98.928,19.3
998.936,100.925,19.4
989.324,102.943,19.5
970.001,104.94,19.6
941.736,106.874,19.7
905.718,108.704,19.8
863.44,110.391,19.9
816.567,111.904,20
766.794,113.218,20.1
715.721,114.316,20.2
664.765,115.189,20.3
615.097,115.835,20.4
567.623,116.258,20.5
522.987,116.468,20.6
481.601,116.477,20.7
443.676,116.302,20.8
409.271,115.959,20.9
378.327,115.466,21
350.703,114.841,21.1
326.211,114.1,21.2
304.633,113.259,21.3
285.743,112.334,21.4
269.315,111.338,21.5
255.138,110.284,21.6
243.016,109.181,21.7
232.771,108.042,21.8
224.248,106.875,21.9
217.313,105.687,22
211.855,104.487,22.1
207.781,103.281,22.2
205.018,102.074,22.3
203.513,100.874,22.4
203.231,99.6833,22.5
204.153,98.5084,22.6
206.278,97.3533,22.7
209.621,96.2222,22.8
214.21,95.1194,22.9
220.093,94.0489,23
227.331,93.0148,23.1
236.001,92.0213,23.2
246.194,91.0728,23.3
258.017,90.1737,23.4
271.59,89.3287,23.5
287.045,88.5431,23.6
304.525,87.8222,23.7
324.18,87.1718,23.8
346.163,86.5982,23.9
370.62,86.1084,24
397.69,85.7095,24.1
427.485,85.4096,24.2
460.079,85.2169,24.3
495.494,85.1404,24.4
533.674,85.1894,24.5
574.464,85.3731,24.6
617.583,85.701,24.7
662.6,86.1822,24.8
708.906,86.8246,24.9
755.7,87.6352,25
801.98,88.6184,25.1
846.551,89.776,25.2
888.057,91.1059,25.3
925.038,92.6012,25.4
956.01,94.2495,25.5
979.572,96.0322,25.6
994.523,97.9244,25.7
999.985,99.8949,25.8
995.499,101.907,25.9
981.092,103.921,26
957.292,105.892,26.1
925.082,107.781,26.2
885.816,109.545,26.3
841.088,111.151,26.4
792.594,112.57,26.5
741.998,113.78,26.6
690.819,114.769,26.7
640.36,115.532,26.8
591.664,116.068,26.9
545.506,116.386,27
502.414,116.496,27.1
462.698,116.414,27.2
426.488,116.155,27.3
393.78,115.736,27.4
364.474,115.177,27.5
338.401,114.493,27.6
315.356,113.702,27.7
295.115,112.819,27.8
277.451,111.857,27.9
262.145,110.831,28
248.991,109.752,28.1
237.803,108.631,28.2
228.415,107.477,28.3
220.681,106.298,28.4
214.478,105.104,28.5
209.704,103.9,28.6
206.276,102.693,28.7
204.131,101.489,28.8
203.225,100.292,28.9
203.53,99.1091,29
205.037,97.9433,29.1
207.752,96.7994,29.2
211.697,95.6815,29.3
216.91,94.5939,29.4
223.444,93.5406,29.5
231.368,92.5257,29.6
240.767,91.5536,29.7
251.74,90.6286,29.8
264.399,89.7552,29.9
278.871,88.9385,30
295.294,88.1837,30.1
313.814,87.4963,30.2
334.583,86.8825,30.3
357.752,86.3489,30.4
383.466,85.9024,30.5
411.85,85.5506,30.6
443.001,85.3018,30.7
476.971,85.1646,30.8
513.744,85.148,30.9
553.221,85.2614,31
595.189,85.5142,31.1
639.296,85.9156,31.2
685.029,86.4743,31.3
731.685,87.1979,31.4
778.366,88.0921,31.5
823.974,89.1603,31.6
867.23,90.4023,31.7
906.719,91.8139,31.8
940.958,93.3856,31.9
968.487,95.1021,32
987.989,96.9416,32.1
998.406,98.8762,32.2
999.053,100.872,32.3
989.703,102.89,32.4
970.627,104.888,32.5
942.583,106.825,32.6
906.751,108.657,32.7
864.617,110.349,32.8
817.843,111.867,32.9
768.125,113.186,33
717.067,114.29,33.1
666.092,115.169,33.2
616.377,115.821,33.3
568.836,116.25,33.4
524.12,116.465,33.5
482.644,116.479,33.6
444.628,116.308,33.7
410.131,115.97,33.8
379.097,115.481,33.9
351.388,114.859,34
326.816,114.121,34.1
305.165,113.283,34.2
286.207,112.36,34.3
269.717,111.365,34.4
255.484,110.312,34.5
243.31,109.211,34.6
233.017,108.072,34.7
224.451,106.906,34.8
217.477,105.718,34.9
